Date,strategy,baseline
1988-03-11,0.5571218849738777,2.6713476808770054
1988-04-01,0.5162022761533489,3.019650556460249
1988-04-22,0.8877917824807184,4.098593270224185
1988-05-13,1.1899643331378513,4.244472714783086
1988-06-03,0.9775664702446036,5.043874418075774
1988-06-24,1.442885701009022,7.982216299679521
1988-07-15,1.7424259798414283,9.360843630831852
1988-08-05,1.9872360679629821,10.145614890518416
1988-08-26,2.027068533416326,7.7504572236257445
1988-09-16,1.9120746038640224,7.256166373227444
1988-10-07,2.161971987633928,7.69200016106447
1988-10-28,2.9470901521523487,9.210927844819025
1988-11-18,2.7339939268051214,9.18738480451566
1988-12-09,4.017931741273813,10.607713087673048
1988-12-30,4.319099576305128,11.368713890026456
1989-01-20,5.26062885430817,15.047275827399673
1989-02-10,7.644694571307969,18.568368676793682
1989-03-03,6.549355374342316,16.845151373541242
1989-03-24,7.660991537513951,17.98574373495802
1989-04-14,8.095732798326871,19.503228036097624
1989-05-05,8.504982227046327,21.75452289873698
1989-05-26,9.08335038874738,21.951497325480304
1989-06-16,9.452024255187377,18.395104956421378
1989-07-07,9.380598912082283,18.61296806536592
1989-07-28,9.666376817281542,21.678120894368462
1989-08-18,10.935286652271792,24.691150789488844
1989-09-08,10.706229372773187,24.965792071457813
1989-09-29,10.789879973072708,26.00242071824249
1989-10-20,9.747306721866636,23.033828359955024
1989-11-10,9.96311689941674,23.044055367521466
1989-12-01,11.229181842902399,25.283291028835706
1989-12-22,12.57196670556148,27.780853229220327
1990-01-12,13.845795839503829,30.164705729152587
1990-02-02,13.997494053987284,27.836546962325258
1990-02-23,13.981092109943454,28.79084092622378
1990-03-16,12.99259063309482,27.442233289474245
1990-04-06,12.973490439126522,25.341685822028964
1990-04-27,12.378284354262613,24.40936392317535
1990-05-18,12.566208514687787,27.48700396461905
1990-06-08,13.390728663976375,30.345148731913326
1990-06-29,13.004076676545981,29.348486727570062
1990-07-20,15.251681925726835,32.62391934839479
1990-08-10,11.172595931834437,23.83549018842143
1990-08-31,10.673270939848972,19.99876831788302
1990-09-21,10.11031435341582,15.91345715945485
1990-10-12,8.604798896166848,12.903997519568549
1990-11-02,8.90106011127941,14.470205589198798
1990-11-23,8.17992283077728,13.971766438764519
1990-12-14,9.2418629002002,16.55499489115185
1991-01-04,8.031556274716841,14.066280583725032
1991-01-25,7.112343490087895,13.39751922623087
1991-02-15,10.89992878745107,20.99010906611055
1991-03-08,13.344972029299782,26.04122822926726
1991-03-29,13.434987790716304,27.299235170432638
1991-04-19,14.231393636276872,29.871095790284187
1991-05-10,14.330763920130396,29.721179721749834
1991-05-31,14.519233011021864,29.61651160959964
1991-06-21,14.59918107376483,30.147729010268705
1991-07-12,14.545115149267023,30.020314590210376
1991-08-02,15.850742334818165,32.42806083175226
1991-08-23,14.490514604831112,28.271072709670307
1991-09-13,15.251759859466635,31.185843830322867
1991-10-04,15.278576723024148,31.465074336440523
1991-10-25,15.096653162434514,31.052013253077277
1991-11-15,17.11959322707893,34.179723157803394
1991-12-06,15.351455518996914,30.10665670633368
1991-12-27,16.39499383379804,30.962049000366378
1992-01-17,18.142720571152477,35.594776571059995
1992-02-07,18.045909915538648,38.73564983702701
1992-02-28,19.258056557636237,39.75493411228561
1992-03-20,21.39506087921577,41.32065727647428
1992-04-10,21.25279496176099,39.311288717851056
1992-05-01,24.34323125674181,43.6250479775763
1992-05-22,25.32628668048799,45.65383918374165
1992-06-12,26.668792752904118,46.28575737431187
1992-07-03,26.755796080923318,44.96676426011638
1992-07-24,26.02390459765102,42.25135791168066
1992-08-14,25.268109938613698,39.895353526684644
1992-09-04,23.84108425461379,39.203729150844254
1992-09-25,24.13195845300336,40.378596930748756
1992-10-16,23.48088996166281,39.65709066340716
1992-11-06,24.873248984185235,44.88748681780119
1992-11-27,23.56631626664133,44.09051365267848
1992-12-18,23.669330025027612,40.469244014699655
1993-01-08,24.681021570905855,44.020080683993385
1993-01-29,24.6291812524882,46.171890228912275
1993-02-19,25.766240105642588,48.20222111858203
1993-03-12,28.391869798993262,52.55736132835227
1993-04-02,27.670149719060618,52.36945312718588
1993-04-23,29.51366077228336,55.38918361661953
1993-05-14,30.37964555975871,57.97542226545676
1993-06-04,34.12471574342286,62.22113839661682
1993-06-25,31.542353344034645,60.48375108061235
1993-07-16,32.20297726043486,61.20288897898614
1993-08-06,33.20507447015781,65.41796001254686
1993-08-27,34.24853426448486,68.76764736393663
1993-09-17,34.1232154422405,69.62644248631655
1993-10-05,36.509342746159525,72.17627446116266
