Date,strategy,baseline
1988-03-11,0.5571218849738777,2.6952870787184793
1988-04-01,0.5162022761533489,3.0457930864833287
1988-04-22,0.8877917824807184,4.013848051528285
1988-05-13,1.1899643331378513,4.173019751023887
1988-06-03,0.9775664702446036,4.956500202890268
1988-06-24,1.442885701009022,7.87625374209378
1988-07-15,1.7424259798414283,9.229736025994
1988-08-05,1.9872360679629821,10.010862964277294
1988-08-26,2.027068533416326,7.605952296750829
1988-09-16,1.8960237057933753,7.134552389505728
1988-10-07,2.0635467483401086,7.525746733068885
1988-10-28,2.8468616669270475,8.983840620723427
1988-11-18,2.63376544157982,8.987905040186476
1988-12-09,3.9177032560485117,10.37999420467932
1988-12-30,4.218871091079826,11.146419203500159
1989-01-20,5.160400369082868,14.827400975222801
1989-02-10,7.544466086082668,18.347133832340887
1989-03-03,6.449126889117014,16.731008783615025
1989-03-24,7.416491516884996,17.84832482164161
1989-04-14,7.742496156653701,19.364673237789248
1989-05-05,8.146245133618487,21.72577869882616
1989-05-26,8.529176949647457,21.991635550686965
1989-06-16,9.12445442480734,18.591953031531972
1989-07-07,9.092993178139151,18.825905873702894
1989-07-28,9.330042657973621,21.868514842514614
1989-08-18,10.598952492963875,24.938436915576702
1989-09-08,10.36989521346527,25.381839596696494
1989-09-29,10.940981989592654,26.89417329876663
1989-10-20,10.150661220130694,24.10643667259515
1989-11-10,10.132930336767934,24.06588509155354
1989-12-01,10.385157710841643,26.25719051944064
1989-12-22,11.68780945592199,29.244828930491508
1990-01-12,14.055510106868894,32.88579135441324
1990-02-02,15.488093123291959,31.809945650582435
1990-02-23,15.077448570029343,32.35620456278255
1990-03-16,14.10913841479054,31.025788247642836
1990-04-06,14.090038220822237,28.841189823907897
1990-04-27,13.494832135958328,27.82771946552826
1990-05-18,13.682756296383502,31.241840647378737
1990-06-08,14.387890748128726,34.06644350647444
1990-06-29,13.998799174973204,32.718557595797904
1990-07-20,16.246404424154058,36.290031953722306
1990-08-10,12.167318430261655,27.71004471936112
1990-08-31,11.985898554089284,24.199054116116173
1990-09-21,11.635156539217434,20.224420522977198
1990-10-12,10.584547061347575,17.0544585603471
1990-11-02,9.703822646176327,18.05615020877812
1990-11-23,8.943920402358472,17.213630152790657
1990-12-14,10.00586047178139,19.888024763000303
1991-01-04,8.795553846298024,17.258210437253055
1991-01-25,7.876341061669073,16.592436041169563
1991-02-15,9.560864961168987,24.81307808441244
1991-03-08,11.66783344121285,29.71014311434847
1991-03-29,11.755952829386658,30.606876116191884
1991-04-19,12.552358674947225,33.32498025061662
1991-05-10,12.651728958800748,32.46541265835843
1991-05-31,12.840198049692216,32.333048726759884
1991-06-21,12.920146112435182,32.803481092347
1991-07-12,12.866080187937373,32.68940917291009
1991-08-02,14.171707373488516,35.73747802862877
1991-08-23,12.941831429647046,31.789436214371264
1991-09-13,13.679041510152654,34.13334052014868
1991-10-04,13.705858373710171,35.480904724512484
1991-10-25,13.841113664967587,34.98599734100151
1991-11-15,14.119372045997732,38.49388612086413
1991-12-06,13.511173898825952,35.54566476157727
1991-12-27,14.404060489562234,38.230806684775644
1992-01-17,19.8782201332616,46.72786842397636
1992-02-07,22.38193693367365,52.49529183288264
1992-02-28,25.47334436819525,55.4916393057719
1992-03-20,29.600277551043476,59.475520528858155
1992-04-10,34.668236104215076,62.41057216240843
1992-05-01,39.27312499944059,68.35428312468015
1992-05-22,44.19476847162402,74.13289944019171
1992-06-12,43.709566717158424,72.83603061765804
1992-07-03,38.95034524692089,67.18612403628164
1992-07-24,38.18630684318842,70.29366316985643
1992-08-14,41.37807870336902,71.91515794553435
1992-09-04,45.06726877861202,75.2915535673835
1992-09-25,49.744689904132365,80.55219657311751
1992-10-16,49.1051995384993,79.61072083517395
1992-11-06,57.50924329686953,91.50433542701204
1992-11-27,53.1691946330234,88.05161961177201
1992-12-18,61.21518023689008,92.61727884453701
1993-01-08,89.11124154698736,123.36315610226767
1993-01-29,106.45858752690377,142.86437151190006
1993-02-19,129.13737095357433,166.57487045680335
1993-03-12,172.0500326998173,210.95410158142187
1993-04-02,206.18879570890505,245.61460543413529
1993-04-23,252.95888941810645,295.2067842763192
1993-05-14,285.08800339295277,329.04089679065873
1993-06-04,397.83050088782204,442.01765799277143
1993-06-25,521.8753630282052,566.4797244907652
1993-07-16,630.0973359504522,675.1154071394309
1993-08-06,651.7929089655936,700.6044800435792
1993-08-27,932.4967959611463,985.8219385420095
1993-09-17,1231.9934396556869,1286.225196703866
1993-10-05,1504.6615812259354,1561.1302721909892
