,0,1
172,6.819585438413619e-29,Asset7Asset18
173,6.906599738204362e-29,Asset7Asset19
174,2.445169767249783e-29,Asset7Asset20
175,0.0,Asset7Asset21
176,0.0,Asset7Asset22
177,5.186095020831079e-23,Asset7Asset23
178,4.375333595522547e-29,Asset7Asset24
179,6.887151401713746e-29,Asset7Asset25
180,0.0,Asset7Asset26
181,0.0,Asset7Asset27
182,5.4604100965916136e-15,Asset8Asset1
183,3.9461966002051905e-15,Asset8Asset2
184,1.2264414332000035e-16,Asset8Asset3
185,5.985458770571844e-15,Asset8Asset4
186,1.909967014494573e-16,Asset8Asset5
187,1.791831414112704e-16,Asset8Asset6
188,1.6306085646351511e-16,Asset8Asset7
189,6.753483775874025e-15,Asset8Asset9
190,6.006632091226836e-15,Asset8Asset10
191,1.8777162429981213e-20,Asset8Asset11
192,1.038798555524394e-20,Asset8Asset12
193,5.6142050743873086e-15,Asset8Asset13
194,3.5013752967733725e-15,Asset8Asset14
195,6.242122649045716e-15,Asset8Asset15
196,5.985458770571844e-15,Asset8Asset16
197,1.0887177944636415e-20,Asset8Asset17
198,6.4429603692065156e-15,Asset8Asset18
199,6.235920813270517e-15,Asset8Asset19
200,5.612963897524243e-20,Asset8Asset20
201,7.81999154110368e-15,Asset8Asset21
202,1.6026189337668318e-16,Asset8Asset22
203,2.538773616665681e-16,Asset8Asset23
204,4.9615922677742264e-15,Asset8Asset24
205,5.833054081883362e-15,Asset8Asset25
206,4.030553070699261e-15,Asset8Asset26
207,1.7099591213750632e-16,Asset8Asset27
208,6.0481319232632015e-06,Asset9Asset1
209,5.561445218607574e-06,Asset9Asset2
210,5.7726572279899975e-06,Asset9Asset3
211,5.792780530149407e-06,Asset9Asset4
212,5.473674460655613e-06,Asset9Asset5
213,5.700602151735113e-06,Asset9Asset6
214,5.52439832574405e-06,Asset9Asset7
215,6.094713075458178e-06,Asset9Asset8
216,6.086744477949092e-06,Asset9Asset10
217,5.849176555305118e-06,Asset9Asset11
218,5.157594411660191e-06,Asset9Asset12
219,6.022043902411476e-06,Asset9Asset13
220,5.130822933022393e-06,Asset9Asset14
221,5.909567749918775e-06,Asset9Asset15
222,5.792780530149407e-06,Asset9Asset16
223,5.556857372990571e-06,Asset9Asset17
224,6.598978985039068e-06,Asset9Asset18
225,5.51125966174218e-06,Asset9Asset19
226,5.87306341682505e-06,Asset9Asset20
227,5.921359169656054e-06,Asset9Asset21
228,5.15921582521231e-06,Asset9Asset22
229,4.8831844334480515e-06,Asset9Asset23
230,5.761491707758575e-06,Asset9Asset24
231,4.822749016742273e-06,Asset9Asset25
232,6.667210185487789e-06,Asset9Asset26
233,4.290557523317333e-06,Asset9Asset27
234,0.0,Asset10Asset1
235,0.0,Asset10Asset2
236,0.0,Asset10Asset3
237,0.0,Asset10Asset4
238,0.0,Asset10Asset5
239,0.0,Asset10Asset6
240,0.0,Asset10Asset7
241,0.0,Asset10Asset8
242,0.0,Asset10Asset9
243,0.0,Asset10Asset11
244,0.0,Asset10Asset12
245,0.0,Asset10Asset13
246,0.0,Asset10Asset14
247,0.0,Asset10Asset15
248,0.0,Asset10Asset16
249,0.0,Asset10Asset17
250,0.0,Asset10Asset18
251,0.0,Asset10Asset19
252,0.0,Asset10Asset20
253,0.0,Asset10Asset21
254,0.0,Asset10Asset22
255,0.0,Asset10Asset23
256,0.0,Asset10Asset24
257,0.0,Asset10Asset25
258,0.0,Asset10Asset26
259,0.0,Asset10Asset27
260,0.0,Asset11Asset1
261,1.1810529917790754e-25,Asset11Asset2
262,0.0,Asset11Asset3
263,1.2155522024979962e-25,Asset11Asset4
264,0.0,Asset11Asset5
265,0.0,Asset11Asset6
266,0.0,Asset11Asset7
267,0.0,Asset11Asset8
268,1.2348023561465294e-25,Asset11Asset9
