,0,1
162,3.359501301478243e-27,Asset7Asset8
163,2.602299425417733e-27,Asset7Asset9
164,5.550086578018118e-28,Asset7Asset10
165,1.3769054012595703e-27,Asset7Asset11
166,2.664019659673174e-27,Asset7Asset12
167,0.0,Asset7Asset13
168,0.0,Asset7Asset14
169,0.0,Asset7Asset15
170,1.7826110494502255e-27,Asset7Asset16
171,2.9485638939038328e-27,Asset7Asset17
172,0.0,Asset7Asset18
173,8.876964789073094e-27,Asset7Asset19
174,0.0,Asset7Asset20
175,0.0,Asset7Asset21
176,0.0,Asset7Asset22
177,9.254202828083341e-28,Asset7Asset23
178,1.6963938572997424e-26,Asset7Asset24
179,4.1818265783086324e-28,Asset7Asset25
180,0.0,Asset7Asset26
181,0.0,Asset7Asset27
182,0.0,Asset8Asset1
183,0.0,Asset8Asset2
184,0.0,Asset8Asset3
185,0.0,Asset8Asset4
186,0.0,Asset8Asset5
187,0.0,Asset8Asset6
188,0.0,Asset8Asset7
189,0.0,Asset8Asset9
190,0.0,Asset8Asset10
191,0.0,Asset8Asset11
192,0.0,Asset8Asset12
193,0.0,Asset8Asset13
194,0.0,Asset8Asset14
195,0.0,Asset8Asset15
196,0.0,Asset8Asset16
197,0.0,Asset8Asset17
198,0.0,Asset8Asset18
199,0.0,Asset8Asset19
200,0.0,Asset8Asset20
201,0.0,Asset8Asset21
202,0.0,Asset8Asset22
203,0.0,Asset8Asset23
204,0.0,Asset8Asset24
205,0.0,Asset8Asset25
206,0.0,Asset8Asset26
207,0.0,Asset8Asset27
208,0.0,Asset9Asset1
209,0.0,Asset9Asset2
210,0.0,Asset9Asset3
211,0.0,Asset9Asset4
212,0.0,Asset9Asset5
213,0.0,Asset9Asset6
214,0.0,Asset9Asset7
215,0.0,Asset9Asset8
216,0.0,Asset9Asset10
217,0.0,Asset9Asset11
218,0.0,Asset9Asset12
219,0.0,Asset9Asset13
220,0.0,Asset9Asset14
221,0.0,Asset9Asset15
222,0.0,Asset9Asset16
223,0.0,Asset9Asset17
224,0.0,Asset9Asset18
225,0.0,Asset9Asset19
226,0.0,Asset9Asset20
227,0.0,Asset9Asset21
228,0.0,Asset9Asset22
229,0.0,Asset9Asset23
230,0.0,Asset9Asset24
231,0.0,Asset9Asset25
232,0.0,Asset9Asset26
233,0.0,Asset9Asset27
234,0.0,Asset10Asset1
235,3.985407335999128e-28,Asset10Asset2
236,0.0,Asset10Asset3
237,4.252853880375364e-28,Asset10Asset4
238,1.1625486102502322e-28,Asset10Asset5
239,2.30081385929123e-28,Asset10Asset6
240,0.0,Asset10Asset7
241,6.77560003864763e-28,Asset10Asset8
242,4.225779941417999e-28,Asset10Asset9
243,0.0,Asset10Asset11
244,4.053789673565321e-28,Asset10Asset12
245,1.3842381983166878e-27,Asset10Asset13
246,0.0,Asset10Asset14
247,0.0,Asset10Asset15
248,2.3893515637241453e-28,Asset10Asset16
249,3.810053057794807e-28,Asset10Asset17
250,0.0,Asset10Asset18
251,8.128308995857738e-28,Asset10Asset19
252,0.0,Asset10Asset20
253,0.0,Asset10Asset21
254,6.686762453850753e-28,Asset10Asset22
255,2.0129969780830663e-28,Asset10Asset23
256,2.1691538947565387e-26,Asset10Asset24
257,1.5875134897351238e-28,Asset10Asset25
258,1.417919410008579e-29,Asset10Asset26
259,6.450660340717772e-29,Asset10Asset27
260,0.0,Asset11Asset1
261,0.0,Asset11Asset2
262,0.0,Asset11Asset3
263,0.0,Asset11Asset4
264,0.0,Asset11Asset5
265,0.0,Asset11Asset6
266,0.0,Asset11Asset7
267,0.0,Asset11Asset8
268,0.0,Asset11Asset9
269,0.0,Asset11Asset10
270,0.0,Asset11Asset12
271,0.0,Asset11Asset13
272,0.0,Asset11Asset14
